채용공고명,회사명,마감일,자격면허,고용형태_근무형태,근무조건_지역,모집요강,모집직종,링크,회사 전화번호,담당자 전화번호
2026년 승진 민군상생복지센터 파크골프장 관리 기간제근로자 공개채용 공고,포천시청,2026.06.19 (금) 18:00,관계없음,"기간의 정함이 있는 근로계약
주 5일 근무","경기도 포천시 영중면 호국로 3272-1, 승진 민군상생복지센터","1. 채용분야 및 인원: 승진 민군상생복지센터 파크골프장 관리인 1명
2.응시자격 및 우대사항
가. 응시자격(모두충족)
1. 공고일 기준 만55세이상인 자
나. 우대사항 (해당시)
1. 파크골프장 관리 경력자
2. 원서접수
가. 접수기간: 2026. 6. 17.(수) ~ 2026. 6. 19.(금)
나. 접수방법: 접수기간 중 근무시간 내 방문접수(12:00 ~ 13:00 제외) 또는 이메일 접수 (aitch@korea.kr)
. 접수 및 문의: (11147) 경기도 포천시 중앙로 87, 포천시청 신관5층 신성장사업과
※ 채용일정은 응시인원, 서류검증 등에 따라 변동될 수 있으며 관련된 사항은 포천시청 홈페이지(https://www.pocheon.go.kr) 공고 및 개별 연락",조경 식재원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJK4002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,031-538-4095,031-538-4095
시흥4동] 3등급 여 12:30~15:30,연세재가복지센터,2026.08.11 (화) 24:00,"필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 금천구 독산로24라길 12, 시흥동 (시흥동)","○ 3등급 여자어르신
○ 일상생활 함께하기, 주변 청소 및 정리, 목욕, 병원동행, 기저귀 케어 등",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAI002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-830-7942, 02-830-7940",02-830-7942
[화성시 봉담] 동화마을 2단지 아파트 경비 구인,（주）푸른안전산업,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 4일 근무
(주 소정근로시간: 40시간)","경기도 화성시 효행구 봉담읍 동화새터길 89, .. (휴먼시아동화마을아파트)","▶ 봉담 동화마을 2단지 아파트 경비구인.
- 봉담읍 동화새터길 89 (동화리 611)
- 격일제 근무
- 휴게시간/ 주간 5, 야간 5시간.
- 월 2,432,800원
- 경력자 우대
- 경비신임교육이수 필수 (이수후 3년 경과시 배치폐지확인증 지참)
- 복지카드소지자 우대
- 6월 기준 짝수날 근무이며, 빠른 입사 (6월 16일 근무) 가능하신분 우대합니다.
☎채용담당자에게 연락바랍니다. (031-5189-4298)",건물 관리원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJK6002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-5189-4298, 031-5189-4257",031-5189-4298
[해운대 우동] 상가 청소원 모집,(주)디이씨오,2026.08.11 (화) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 6일 근무
(주 소정근로시간: 23시간)","부산광역시 해운대구 해운대로 650, . (우동, 해운대 센트럴 푸르지오)","===============
**사상구청 채용대행**
===============
* 해운대구 우동 센트럴푸르지오
- 상가청소
- 주6일 /오전 - 평일 :09:00~13:00/토요일 09:00~12:00
- 임금 : 1,211,270원
- 바로 출근 가능자 우대
* 담당자와 통화 후 면접일정 및 장소 안내 받으십시오.
- 사상구청일자리센터 051-310-4226","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBJ002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,051-310-4226,051-310-4226
(동읍 용정길) 1등급 케어 요양보호사 구인,서부재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 6일 근무
(주 소정근로시간: 24시간)","경상남도 창원시 의창구 동읍 용정길 26, . (송정주공아파트)","#동읍송정주공, 1등급 어르신케어(남)
-주6일, 4시간 (09:00~13:00) /월 8회는 8시간 근무해야 함 (주중 2일은 09:00~18:00)
-거동 불편 전동휠체어생활, 인지기능양호, 중증수당 지급함
-근무일, 시간 조율가능함
-상세상담 및 지원 : 창원새일센터 : 239-5366",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10802606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-283-3221,055-283-3221
재가요양보호사 모집(삼성마을1단지),군포예사랑재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 군포시 삼성로 79, . (당동, 삼성마을1단지)","- 3등급 여자 어르신
- 주5일 9-12시
- 삼성마을1단지
- 시급13,000원(수당 포함)",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKH002606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-8389-5129, 031-394-4242, 031-394-5129",031-394-4242
재가요양보호사 구인,다사랑재가복지센터,2026.06.26 (금) 24:00,"필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 의정부시 훈민로 13 (고산동, 고산리슈빌포레)","★ 3등급 여어르신
- 고산리슈빌포레 3단지
- 주 5일(월~금) / 2시~5시
- 시급: 13,100원 (제수당 포함)
☎ 문의: 다사랑재가센터
센터장 010-3707-7260",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF11292606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-3707-7260, 031-829-0203",031-829-0203
요양보호사 선생님을 모십니다(여자어르신),해바라기방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약
주 5일 근무",인천광역시 강화군 화도면 마니산로675번길 14,"요양보호사 구인
- 3등급 여자 어르신
- 일상생활지원- 정서(말벗), 가사 (청소및 정리정돈, 식사도움및 준비등), 외출동행
- 근무시간 :09:00~12:00 또는 12시~15시 (월~금 / 주 5일, 1일 3시간)
- 급여 : 13,000원~13,200원 월 식대 50,000원 별도지급",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJDB002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-8223-8573, 032-522-1793, 032-435-1793",032-522-1793
재가요양보호사 모집(삼성마을3단지),군포예사랑재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 군포시 삼성로59번길 16, . (당동, 삼성마을 시티프라디움)","- 3등급 여자 어르신
- 주5일 9-12시
- 시급13,000원(수당 포함)
- 삼성마을 3단지",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKH002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-8389-5129, 031-394-4242, 031-394-5129",031-394-4242
[퇴계원] 5등급 할아버님 재가요양보호사 구인,선교노인케어센터,2026.07.11 (토) 24:00,"필수
요양보호사","기간의 정함이 없는 근로계약
주 5일 근무",경기도 남양주시 퇴계원읍 경춘북로520번길 44 (한림드림빌),"*5등급 할아버님케어 (치매교육이수증필)
-가사지원, 식사도움등 일상케어
-주5일/9~12시
-시급 13000원(10320원+기타수당 포함)",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKJ002606120003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-7595-7154, 031-8057-7153",휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
재가요양보호사 구인,안양재가노인 장기요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 안양시 동안구 흥안대로223번길 47, - (호계동, 샘마을대우,한양아파트)","-4등급 여 어르신 일상생활지원
-주5일/09:00-12:00
-시급:10,320원+주휴수당, 연차및 기타수당=13,000원
[실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용시 근로자
마다 주 소정근로시간이나 임금, 근무(예정지) 등에 차이가 있을 수 있음.]",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21062606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[하대원동] 자이아파트 미화원 모집,유한책임회사 굿모닝대양,2026.08.11 (화) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 6일 근무
(주 소정근로시간: 30시간)","경기도 성남시 중원구 둔촌대로 363, .. (하대원동, 자이아파트)","하대원동 자이아파트 미화원 모집
- 시간 : 주 6일 (월~금) 09:00~15:30(휴게시간 12:00~13:00). (토요일) 09:00~12:00
- 월급 : 1,614,358원
- 쌀만제공
- 반장님 통화 후 면접진행","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21012606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
다운동 4등급 남자어르신 재가요양보호사 모집[남구청 채용대행],흥부노인복지센터,2026.08.11 (화) 24:00,"필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 5시간)","울산광역시 중구 다운6길 16, , (다운동, 다운아파트)","- 대상자: 4등급 남자어르신 (70대)
- 업무: 식사도움, 가사지원 등
- 근무시간: 주5일 / 09:00 ~12:00
- 근무지: 다운동
- 시급: 10,320원(수당별도)
-문의: 남구 일자리종합센터 052-226-3182",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJGB002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,052-226-3182,052-226-3182
[ 별내동 ] 별사랑마을2-10단지 실내미화원 구인,（주）홈스웰,2026.08.11 (화) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 6일 근무
(주 소정근로시간: 29시간)","경기도 남양주시 별내3로 251, . (별내동, 별사랑마을2-10단지)","- 별사랑마을 2-10단지 미화업무
- 근무시간 : 평일 09:00 ~16:00(휴게 1.5시간) / 토 9시~12시(격주)
- 급 여 : 월급 1,614,360원
- 문 의 : 010-8317-0978","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKJ002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-8317-0978, 010-5222-0863",휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[재가요양보호사 모집] 양평동 / 4등급 / 여자 어르신,처음처럼방문요양센터,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 영등포구 양평로30길 51 (양평동6가, 한솔아파트)","직무: 4등급 여자 어르신 돌봄 - 85세, 독거, 거동가능, 신체지원, 가사일상지원, 정서지원 등
근무시간: 09:00~12:00 / 주5일
근무처: 서울특별시 영등포구 양평로 30길 51, 한솔아파트
시급: 10,320원 (+주휴수당 2,064원 + 연차수당 616원 + 센터지원금 1,500원)
* 전화지원 이순영 담당자(H:010-2215-7171)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAU002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,010-2215-7171,010-2215-7171
철산 영풍타운 경비 구인,철산영풍타운,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 3일 근무
(주 소정근로시간: 30시간)","경기도 광명시 시청로29번길 12, 아파트 (철산동, 영풍아파트)","-경비원 구인
-철산동 영풍타운
-6시 교대
-급여 180만원
-채용담당자 통화 후 면접 진행
-경비교육이수자",아파트·빌라 경비원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKE002606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[향동1단지] 5등급 할아버지 재가요양보호사 채용,든든애재가방문요양센터,2026.06.25 (목) 24:00,관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","경기도 고양시 덕양구 향기5로 55, 103동 915호 (향동동, 고양향동엘에이치1단지)","[향동1단지] 5등급 할아버지 재가요양보호사 채용
* 일상생활 수행 지원: 치매프로그램, 일상생활함께하기, 청소, 반찬
* 근무시간: 14:00~17:00(월-금/토 1-2회 근무)
* 치매교육 이수
* 시급: 10,320원(주휴수당, 연차수당 등은 별도 추가 지급, 수당 등 포함 시 13,100원)
* 지원 방법: 채용 담당자 통화 후 면접
** 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있음",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0102606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-6403-0052, 02-6403-0053",02-6403-0052
"[롯데백화점] 오전, 오후 미화원 모집",(주)아이비에스인더스트리,2026.06.26 (금) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 34시간)",경상남도 창원시 성산구 중앙대로 124 (상남동),"롯데백화점, 영플라자 매장 및 화장실 청소
-오전 07:30 ~ 15:30
-오후 14:00 ~ 22:00 주5일 근무지만 주말근무가능자
* 근무형태는 면접시 자세히 설명드림
* 7/1 근무예정
* 창원시 일자리센터 채용대행건으로 문의사항시 055-225-3397 연락바랍니다.",건물 청소원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJSP002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,055-225-3397,055-225-3397
기업체 - 회사 내부 청소 미화원 모집,주식회사엠큐리티,2026.07.11 (토) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 40시간)",충청북도 청주시 청원구 오창읍 오창가좌4길 6-1,"기업체 - 회사 내부 청소 미화원 모집
직무내용 : 사무실/복도/계단 청소/분리수거 업무 포함
근무시간 : 주5일 07:00 ~ 16:00
급여조건 : 2,200,000원이상
근무지역 : 충청북도 청주시 흥덕구 오송읍 오송생명4로 16,
기 타 : 자차 출.퇴근 가능자","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJMI002606120003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,043-539-3349,043-539-3349
[휘경동/5등급/할아버지/13~16시 주5일] 재가 요양보호사 모집,비지팅엔젤스성동방문요양지점,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","서울특별시 동대문구 망우로20길 86, .. (휘경동, 브라운스톤휘경)","5등급 할아버지 오후케어
-가사지원, 일상생활지원 등
-근무시간 13:00~16:00 주5일
-시급 : 10,320원 (수당포함 13,500원)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAQ002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"02-466-6660, 02-466-6670",02-466-6660
(국제전기)기업체 - 경비원 모집(엠큐리티),주식회사엠큐리티,2026.06.30 (화) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 4일 근무
(주 소정근로시간: 48시간)","충청북도 음성군 신개천로 98, (주)국제전기","기업체 - 경비원 모집 (국제전기)
직무내용 : 내방객안내 출입 및차량 통제등
근무시간 : 격일제근무 07:00 ~ 익일 07:00
급여조건 : 월 235만원 ~ 235만원이상(세전)
근무지역 : 국제전기(충북 음성군 금왕읍 신개천로 98)
자격조건 : 경비신임교육이수자, 자차출퇴근가능자, pc활용가능자 우대,",건물 관리원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJMI002606120002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,043-539-3349,043-539-3349
기업체-경비원 모집(대원제약 향남공장),주식회사엠큐리티,2026.06.30 (화) 24:00,관계없음,"기간의 정함이 있는 근로계약
주 4일 근무
(주 소정근로시간: 48시간)","경기도 화성시 만세구 제약공단1길 24, 대원제약 향남공장","(대원제약향남공장)기업체 - 경비원 모집 (화성시 제약회사)
직무내용 : 내방객안내 출입 및차량 통제등
근무시간 : 격일제근무 05:00 ~ 익일 05:00
급여조건 : 월 260만원이상
근무지역 : 대원제약 향남공장(경기도 화성시 향남읍 제약공단 1길 24)
자격조건 : 경비신임경비 교육 이수자, 입사전 특수검진 결과표 제출가능자
기 타 : 자차 출.퇴근 가능하신분, PC활용 가능자.",건물 관리원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJMI002606120001&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,043-539-3349,043-539-3349
재가요양보호사 구인,참살이재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사1급","기간의 정함이 없는 근로계약(시간(선택)제)
주 3일 근무
(주 소정근로시간: 9시간)","인천광역시 서구 연희로39번길 13, 연희동 (연희동, 미성쉐르빌)","*서구 연희동 거주 4등급 할머니 재가요양보호사 구인
- 13:00~16:00
- 시간협의 가능
- 주3일 근무(화,수,금)
- 시급 13,000원(수당 포함)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF10152606110007&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
당진시의회 버스 운전 기간제 근로자 공개 채용,당진시의회,2026.06.24 (수) 18:00,"필수
자동차운전면허1종대형","기간의 정함이 있는 근로계약
주 5일 근무","충청남도 당진시 시청1로 1, 당진시의회 의회사무국 (수청동)","■ 직무내용 : 당진시의회 의회사무국에서 의회 버스 운전 및 차량 관리 업무 수행
■ 계약기간 : 2026. 07. 01. ~ 2026. 12. 31. (6개월)
■ 근무시간 : 주 5일(월~금) / 1일 8시간(09:00~18:00) / 휴게시간 1시간
■ 보수기준 : 시급: 12,110원
- 2026년 당진시생활임금 기준
- 시간 외 · 휴일 · 야간 근무 시에 「2026년 당진시 기간제근로자 임금지급 기준」에 따라 지급
■ 응시자격
- 1종대형 운전면허 소지자로 채용 분야의 관련 경력이 1년 이상인 자
- 신체허약, 정신이상, 알콜중독 등으로 업무 수행에 차질이 없는 자
- 『지방공무원법』제31조 각 호에 해당하는 결격사유가 없고 『부패 방지 및 국민권익위원회의 설치와 운영에 관한 법률』등 타 법령에 의하여 응시 자격이 정지되지 아니한 자
- 응시 연령 기타 자세한 사항은 공고문 참고
■ 원서 접수 및 제출서류
- 접수기간 : 2026. 06. 22.(월) 09:00 ~ 06. 24.(수) 18:00
- 접수방법 : ❶ 직접 제출, ❷ 등기 우편
- 접수처 : 당진시의회 의회사무국(의정팀) / (우 31773) 충남 당진시 시청1로 1, 당진시의회 의회사무국(1층)
- 응시자 제출서류 : 응시원서, 건강보험자격득실확인서, 신분증 사본, 주민등록초본, 1종대형 운전면허증 사본, 자기소개서, 개인정보 및 고유식별 정보활용 동의서, 자격요건 검증을 위한 동의서, 경력(재직)증명서",버스 운전원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJNE002606110004&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,041-350-4811,041-350-4811
SNS마케터를 찾습니다,주식회사 오렌지마케팅,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약
주 5일 근무
(주 소정근로시간: 40시간)","재택근무 가능
충청남도 천안시 서북구 검은들3길 46, 803-2(805호) 미래시티빌딩 (오렌지도서관) (불당동)","<직무내용>
1. SNS콘텐츠마케팅 (인스타그램, 블로그, 유튜브 영상제작)
2. 메인업무->블로그 글쓰기 (평소 좋아하는 책 독후감 또는 서평 제출)
3. 거래처보고
*근무시간 : 09:00~18:00
*주5일근무 : 월요일~금요일
*기간의 정함이 없는 근로계약
*급여외 차량 유지비지원,
*식사 제공(1식, 야근시 식사 추가제공)
*우대조건-문서작성, 스프레드시트, 프레젠테이션, 회계프로그램, 외국어/영어 가능자, 운전면허증, 차량소지자, 광고기획전공자,",마케팅·광고·홍보·상품기획 사무원,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KF11222606110002&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,05-960-9705,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[우동} 재가요양보호사 채용,효성재가노인복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 15시간)","부산광역시 해운대구 해운대해변로 163, . (우동, 현대베네시티아파트)","[효성재가노인복지센터]
해운대해변로 현대베네시티
3등급 79세 남자어르신/배우자거주
주5일/10~13시(시간고정)
차량필수/병원동행등
시급 10,320원( 주휴수당, 연차수당 등 별도)
(*서비스이용자의 상황에 따라 근로시간 외 “추가시간”이 있을 수 있음)
문의 010-7141-0468",재가 간병인,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJBC002606110008&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-7141-0468, 051-522-0468, 051-522-0469","010-7141-0468, 051-522-0468"
영등포구 두산초등학교 병설유치원 미화 구인,(주)케이디텍,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 5일 근무","서울특별시 금천구 범안로11길 3, 병설유치원 (독산동)","** 2026 구로구 중장년 채용박람회 참여 구인기업
- 박람회일정: 6월16일(화) 14:00~17:00 구로구청 5층 강당 현장면접 진행예정/ 준비물: 신분증, 이력서
두산초 병설유치원 미화 구인 /
- 근무시간: 14:40~17:30 (주5일/ 14시간10분)
- 급여: 시급 12,570원
- 근무지: 1호선 독산역 1출구 270m ( 금천구 범안로11길 3 )
- 건물청소 경력자 우대","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAH002606110012&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,02-6737-7449,02-6737-7449
이마트 운정점 환경파트 사원 모집,（주）래딕스파트너스,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 32시간)",경기도 파주시 한울로 123 (동패동),"- 환경미화
- 근무시간 : 주5일 7:00-14:30 (휴게시간: 12:30-13:30)
- 급여 : 1,768,000 원","건물 청소원(공공건물,아파트,사무실,병원,상가,공장 등)",https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0252606110013&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"031-8071-4246, 031-8071-4250",031-8071-4246
재가요양보호사 모집/4등급 할머니/주6일(15시~18시),힐링방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약
주 6일 근무","경기도 부천시 오정구 삼작로346번길 19, .. (여월동, 남영빌라)","- 4등급 할머니 케어(거동가능/배우자 함께 계심)
- 가사 및 인지활동도움, 산책 외 일상생활지원서비스
- 주6일(15~18시)
- 시급:13,000원(제수당 포함)",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJ21002606110029&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,032-673-7379,휴대폰번호와 이메일은 로그인하셔야 조회가 가능합니다.
[개봉동] 재가요양보호사 모집,온누리천사방문요양센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 5일 근무
(주 소정근로시간: 18시간)","서울특별시 구로구 고척로25길 21 (개봉동, 이음빌)","개봉1동
- 대상자: 3등급 할머니, 독거, 편마비, 실내(워커이용), 실외(전동휠체어 이용)
- 근무내용: 병원동행, 일상생활지원, 가사활동지원, 운동도움 등
- 근무시간: 10:00~13:00/주5~6일
- 시급: 10,320원[포괄 시급 13,000원]
* 6/22일부터 근무 시작",재가 요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJAH002606110011&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,02-2682-7878,02-2682-7878
[채용대행]이동급식 배송원 모집,(주)네이처푸드컴퍼니,"채용시까지
(마감시간 : 24시)",관계없음,"기간의 정함이 있는 근로계약
주 5일 근무
(주 소정근로시간: 18시간)","경기도 고양시 덕양구 중앙로 450, 602호 (행신동, 명성프라자)","-성별 무관
-급여: 110만원
-근무 시간: 16:30~20:00(주 17.5시간)
-직무내용: 급식 배송 업무
-운전면허 1종 보통
-인근 거주자 우대
*여성분도 가능할 만큼 업무강도 높지 않습니다.",배송·납품 운전원(납품영업 포함),https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KEC0102606110003&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,070-4126-4205,070-4126-4205
[ 마북동/4등급 /할머님] 요양보호사 채용,마음드림재가복지센터,"채용시까지
(마감시간 : 24시)","필수
요양보호사","기간의 정함이 없는 근로계약(시간(선택)제)
주 3일 근무
(주 소정근로시간: 9시간)","경기도 용인시 기흥구 용구대로2394번길 27, 109 (마북동, 삼성래미안1차아파트)","- 마북동 4등급 할머님재가 대상자케어
- 간병일상생활지원서비스(말벗, 일상생활지원서비스)
- 주3일 : 09:00~12:00(시간협의)
- 급여 : 시급10,320+수당 등=13,000원
※근로계약기간의 정함이 없는 근로자를 채용하는 것이라 하더라도 실제 서비스 제공기간에 따라 임금을 계산하여 지급하는 형태로 채용 시 근로자마다 주 소정근로시간이나 임금, 근무(예정)지 등에 차이가 있을 수 있습니다.",요양보호사,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=KJKX002606110022&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet,"010-4598-4832, 031-263-4832, 031-263-4835",031-263-4832
